ProductName,Description,Predicted productBrand,Predicted Color,Predicted Gender
Kraus Jeans Women Olive Green Solid Regular Fit Chino Shorts K4041,"Olive green solid mid-rise chino shorts, has 5 pockets, button and zip closure",Kraus Jeans, Green,Women
Kryptic Men Black Striped Polo Collar T-shirt,"Black and White striped T-shirt, has a polo collar, and short sleeves",AND, Black,Men
Senorita Women Purple Formal Slip-Ons,"A pair of purple round-toed formal slip-on shoesSynthetic upperCushioned footbedTextured PVC outsole, has a stacked heel",Senorita, Purple,Women
CODE by Lifestyle Men Blue Slim Fit Solid Formal Shirt,"Blue solid formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",CODE by Lifestyle,Blue,Men
Titan Women White Analogue Watch,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Multi FunctionStrap style: Brown regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, White,Women
C9 AIRWEAR Women Green Solid Ankle-Length Legging,"Green solid ankle-length leggings, has an elastciated waistband.",C9 AIRWEAR, Green,Women
Sonata Blush Women Navy Blue Analogue watch NL87001WL01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid asymmetric metal dialFeatures: Reset TimeStrap style: Blue regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Sonata,Blue,Women
San Frissco Men Black Glossy Formal Shoes,"A pair of black formal shoes, has central lace-upsGlossy leather upper, has brogue detail throughoutCushioned footbedTextured outsole, has a stacked heelComes with a fabric bagWarranty: 3 monthsWarranty provided by the brand owner / manufacturer",San Frissco, Black,Men
Roadster Women Blue Skinny Fit Mid-Rise Ankle Length Mildly Distressed Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans, mildly distressed, heavy fade, has a button and zip closure, waistband with belt loops, ankle length",Roadster,Blue,Women
Coolers Men Black Sandals,A pair of black comfort sandalsSynthetic upper with slip-on closureCushioned footbedPatterned rubber outsole,Coolers, Black,Men
ROMEE Orange Set of 3 Self Design Square Cushion Covers,Set content: 3 Cushion Covers Colour: Orange Shape: Square Pattern: Self Design Closure: Zip,ROMEE, Orange,Unisex
INCOLOR Women Pink Jewel Queen 11 Lipstick 3.7g,"What It Is?:INCOLOR Women Jewel Queen 11 Lipstick 3.7gColour Shade Name:PinkWhat It Does?:Incolor's Jewel Queen Lipstick is a rich and nourishing lipstick packed with a creamy texture that glides on smoothly, is super long wearing and easy to apply. The lipstick glides on easily to deliver an instant pop of colour. It is specially formulated to provide your lips with a glossy finish and a moisturizing rich coverage for ultra-pigmented lips.Features:Ultra nourishing lip colour that delivers a full impact colourIt features a rich yet lightweight creme-based formulaProvides a silky smooth finish and a great colour pay offThe ultra comfortable formula, glides on like a dreamAbout The Brand:Established in 2009, INCOLOR is a leading global beauty company bringing a wide range of luxurious, high-quality makeup products at affordable prices. The products have international formulations and packaging with the premium appeal and high level of research to ensure that the products stand the test of quality and consistency.",INCOLOR, Pink,Women
Liberty Men Red Solid Slip-On,A pair of red solid flip flopsPlastic upper materialCushioned footbedPatterned rubber outsole,Liberty, Red,Men
Sonata Sleek Men Grey Analogue watch 7128NL02,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Grey regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Sonata, Grey,Men
Roadster Women Blue Skinny Fit Mid-Rise Acid Wash Slash Knee Stretchable Jeans,"Blue medium wash 5-pocket acid wash mid-rise jeans, slash knee, heavy fade, has a button and zip closure, and waistband with belt loops, frayed hems",Roadster,Blue,Women
Fastrack Men Brown Analogue Watch 38051SM02,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round metal dialFeatures: Reset Time, Date ApertureStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Fastrack, Brown,Men
Veni Vidi Vici Women Off-White Solid Crop Fitted Top,"Off-White solid knitted fitted top with tie-up detail, has a boat neck, and long sleeves",Veni Vidi Vici, White,Women
You Got Plan B Boys Pack of 3 Printed Pure Cotton Boxers Robotics - Boy Pure Cotton Boxer Shorts,"Pack of three printed boxers in blue, yellow and black, each has an elasticated waistband, a double-layered gusset",You Got Plan B,nan,Boys
DODO & MOA Maroon,"Red solid capri jumpsuit, has a V-neck, sleeveless",DODO & MOA, Maroon,Women
Fame Forever by Lifestyle Men Black & White Printed Polo Collar T-shirt,"Black and White printed T-shirt, has a polo collar, and short sleeves",Fame Forever by Lifestyle, Black,Men
Veni Vidi Vici Women Assorted Solid Bardot Crop Top,"Assorted solid knitted bardot crop top with layered and knot detail, has shoulder straps, and long sleevesDisclaimer: The final product delivered might vary in colour and prints from the display here",Veni Vidi Vici,nan,Women
Kvsfab Women Multicoloured Striped Layered Maxi Dress,"Multicoloured striped knitted maxi %S, has a round neck, three-quarter bell sleeves, and flared hem, layered detail",Kvsfab, Red,Women
Soumya Purple Solid Single Window Curtain,Set content: Single Window curtainColour: PurplePattern: Solid with patterned detailLight blocking: RegularFitting: EyeletLining: No,Soumya, Purple,Unisex
Roadster Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
Fame Forever by Lifestyle Men Black Solid Slim-Fit Joggers,"Black solid slim-fit joggers, has an elasticated waistband with a drawstring fastening, three pockets, cuffed hem",Fame Forever by Lifestyle, Black,Men
Fastrack Men Green Analogue Watch 9298PV09,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Green striped regular, synthetic strap with a tang closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Fastrack case",Fastrack, Green,Men
Sonata Splash Women White Analogue watch NL87019SP04,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Blue regular, silicon strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Sonata, White,Women
Roadster Women Blue Dyed Boyfriend Fit Mid-Rise Clean Look Stretchable Cropped Jeans,"Blue dyed medium wash 5-pocket mid-rise cropped jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
Roadster Women Blue Skinny Fit Mid-Rise Low Distress Stretchable Cropped Jeans,"Blue light wash 5-pocket mid-rise cropped jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
Rajnandini Green & Peach-Coloured Printed Unstitched Dress Material,Green and peach-coloured printed unstitched dress materialGreen printed kurta fabricGreen and peach-coloured printed bottom fabricGreen and peach-coloured printed dupattaDisclaimer: Images are for referral purposes only. The actual product is unstitched.,Rajnandini, Green,Women
Tokyo Talkies Women Black Sheath Dress,"Black self-design woven sheath dress, has a keyhole neck, three-quarter sleeves, concealed zip closure, an attached lining, and straight hem",Tokyo Talkies, Black,Women
Titan Women Navy Blue Analogue Watch 2589KM02,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Chronograph, Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover and butterfly closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan,Blue,Women
Veni Vidi Vici Women Navy Blue Solid Fitted Top,"Navy Blue solid knitted fitted top with cut-out, gathered and tie-up detail, has a boat neck, and long sleeves",Veni Vidi Vici,Blue,Women
Rajnandini Navy Blue & Yellow Semi-Stitched Dress Material,"Navy Blue and yellow embroidered semi-stitched dress materialNavy Blue embroidered semi stitched kurta fabricNavy Blue solid bottom fabricYellow embroidered dupatta, has taping borderDisclaimer: Images are for referral purposes only. The actual product is semi-stitched",Rajnandini,Blue,Women
Sonata Men White Bracelet Style Strap Analogue Watch 7133KM01,"Pack Contains: Single watchDisplay: AnalogueMovement: QuartzPower Source: BatteryDial style: White textured round stainless steel dialFeatures: Reset timeStrap Style: Silver toned and rose gold toned, bracelet style, stainless steel strap with a foldover closureWater resistance: 30 mComes in a signature Sonata caseWarranty: 1 yearWarranty provided by brand/manufacturer",Sonata, White,Men
Titan Workwear Men Grey Analogue watch NL1805WL01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset Time, Calendar, Multi FunctionStrap style: Grey regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Titan case",Titan, Grey,Men
Roadster Women Blue Skinny Fit Tie-Wash Stretchable Jeans,"Blue tie-wash five pocket mid-rise jeans, has a waistband with belt loops, button and zip closure, clean look",Roadster,Blue,Women
Sonata Pankh Women Off White Analogue watch NL8085YM07,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed oval metal dialFeatures: Reset TimeStrap style: Gold-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Sonata, White,Women
Soumya Pink Solid Door Curtain,Set content: Single door curtainColour: PinkPattern: Solid doorLight blocking: RegularFitting: EyeletLining: No,Soumya, Pink,Unisex
ROMEE Set of 3 Self Design Square Cushion Covers,Set content: 3 Cushion Covers Colour: Yellow Shape: Square Pattern: Self Design Closure: Zip,ROMEE,nan,Unisex
Soumya Blue Single Window Curtain,Set content: Single window curtainColour: BluePattern: Ethnic MotifsLight blocking: RegularFitting: EyeletLining: No,Soumya,Blue,Unisex
CODE by Lifestyle Men Purple & Grey Regular Fit Striped Casual Shirt,"Purple and Grey striped casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",CODE by Lifestyle, Grey,Men
CODE by Lifestyle Men Blue Slim Fit Checked Formal Shirt,"Blue checked formal shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",CODE by Lifestyle,Blue,Men
CODE by Lifestyle Men Blue Solid Mandarin Collar T-shirt,"Blue solid T-shirt, has a mandarin collar, and short sleeves",CODE by Lifestyle,Blue,Men
Sonata Wedding Men Grey Analogue watch 7133BM02,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Silver-Toned bracelet style, metal strap with a foldover closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Sonata, Grey,Men
TIMESMITH Women White Analogue Watch TSC-053,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Embellished round stainless steel dialFeatures: Multi FunctionStrap style: Silver-Toned bracelet style, stainless steel strap with a button closureWater resistance: Water ResistantWarranty: 1 yearWarranty provided by brand/manufacturer",TIMESMITH, White,Women
CODE by Lifestyle Men Red Striped Polo Collar T-shirt,"Red striped T-shirt, has a polo collar, and short sleeves",CODE by Lifestyle, Red,Men
Red Tape Men Black Leather Formal Oxfords,"A pair of black round-toed formal oxfords, has central lace-upsLeather upperCushioned footbedTextured PVC outsole, has a stacked heelWarranty: 3 months against manufacturing defectsWarranty provided by brand/manufacturer",Red Tape, Red,Men
Shaily Orange Solid Satin Saree,"Design Detail:Orange   solid saree and has an embellished border Blouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look likeFabric:Chiffon is a lightweight plain-woven fabric with mesh like weave that gives it transparent appearance.",Shaily, Orange,Women
Soumya Maroon Self Design Single Door Curtain,Set content: Single Long Door curtainColour: MaroonPattern: Solid Long DoorLight blocking: RegularFitting: EyeletLining: Yes,Soumya, Maroon,Unisex
Roadster Women Blue Skinny Fit Mid-Rise Low Distress Stretchable Cropped Jeans,"Blue medium wash 5-pocket mid-rise jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
Chhabra 555 Orange & Rust Art Silk Woven Design Tussar Saree,"Design Detail:Orange and Rust tussar  woven design saree and has a woven design border Blouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look likeOrigin:Tussar is also known as 'Kosa Silk' and produced mainly in Jharkhand state of India. It is valued for its rich texture and natural deep gold colour. Fabric:Art silk is manufactured by synthetic fibres like rayon. It's light in weight and is soft on the skin for comfort in summers.",Chhabra 555, Orange,Women
Roadster Women Blue Skinny Fit Mid-Rise Clean Look Raw Hem Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
DODO & MOA Women Red Embroidered Top,"Red embroidered woven regular top, has a round neck, long bell sleeves, and button closure, waist tie-up",DODO & MOA, Red,Women
DODO & MOA Women Black Printed Cinched Waist Top,"Black printed woven cinched waist  top, has a keyhole neck, long sleeves, and button closure",DODO & MOA, Black,Women
Titan Women Grey Analogue Watch,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Reset TimeStrap style: Grey bracelet style, metal strap with a foldover closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, Grey,Women
The Kaftan Company Women Green Embellished Kaftan Top,Green embellished  kaftan  top and has a round neck,The Kaftan Company, Green,Women
Roadster Women Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,"Black dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Roadster, Black,Women
Levis Men Grey 65504 Skinny Straight Fit Mid-Rise Clean Look Stretchable Jeans,"Grey light wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Levis, Grey,Men
Metro Women Gold-Toned Solid Sandals,"A pair of gold-toned open toe sandals, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole, has a block heelWarranty: 1 monthWarranty provided by brand/manufacturer",Metro, Gold,Women
Respiro Men Black Leather Formal Derbys,"A pair of black round-toed formal derbys, has central lace-upsSynthetic leather upperCushioned footbedTextured PVC outsole, has a stacked heelWarranty: 1 month against manufacturing defectsWarranty provided by brand/manufacturer.",Respiro, Black,Men
Park Avenue Men Blue Bandhgala Slim Fit Suit,"This suit contains a Bandhgala blazer and a pair of trousersBlue Bandhgala blazer, has a Mandarin collar, full button placket, long sleeves, padded shoulders, one welt pocket, two flap pockets, attached lining, and a vented back hemA pair of blue formal trousers, has a waistband with belt loops, a button and zip fly closure, four pockets",Park Avenue,Blue,Men
Call It Spring Men White Self Design Room Slippers,A pair of white self design flip flopsSynthetic upper materialCushioned footbedPatterned synthetic outsoleWarranty: 1 monthWarranty provided by brand/manufacturer,Call It Spring, White,Men
Veni Vidi Vici Women Olive Green Solid Fit & Flare Dress,"Olive Green solid knitted fit and flare dress, has a round neck, short cold-shoulder sleeves",Veni Vidi Vici, Green,Women
CHUTPUT Kids Orange & Beige Colourblocked Open Knit Romper,"Orange and beige colourblocked open knit rompers with applique detail, has a square neck, cap sleeves, snap button closure on crotch area",CHUTPUT, Beige,Unisex Kids
THE SILHOUETTE STORE Women Pink Printed Round Neck T-shirt,"Pink printed T-shirt, has a round neck, and short sleeves",THE SILHOUETTE STORE, Pink,Women
Arrow Sport Mustard Yellow Sleeveless Sweater,"Mustard yellow patterned knit sweater, has a V-neck, sleeveless, a ribbed hemline",Arrow Sport, Yellow,Men
Fame Forever by Lifestyle Men White & Blue Printed Polo Collar T-shirt,"White and Blue printed T-shirt, has a polo collar, and short sleeves",Fame Forever by Lifestyle,Blue,Men
Fastrack Loopholes Men Black Analogue watch NL3169NL01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Multi Function, CalendarStrap style: Brown regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Fastrack, Black,Men
Simply Girls Pack of 3 Pure Cotton Printed Tops,"Pack of 3 multicoloured printed woven regular tops, each has a round neck, and short sleeves",Simply,nan,Girls
Titan Octane Men White Analogue watch NL90104KM03,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: ChronographStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, White,Men
ColorPlus Men Blue Tailored Fit Checked Casual Shirt,"Blue checked casual shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",ColorPlus,Blue,Men
IVOC Men White Regular Fit Printed Formal Shirt,"White printed formal shirt, has a spread collar, long sleeves, button placket, and curved hem",IVOC, White,Men
Sonata Reloaded Men Grey Analogue watch 77031NL04,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Brown regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Sonata, Grey,Men
Titan Workwear Women Silver Analogue watch NL2590BM01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Chronograph, Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover and butterfly closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, Silver,Women
Sonata Blush Women Grey Analogue watch 8123WL01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Black regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Sonata, Grey,Women
CODE by Lifestyle Men Grey Slim Fit Checked Regular Trousers,Grey checked mid-rise trousers and button closure,CODE by Lifestyle, Grey,Men
Cottinfab Women Burgundy Solid Playsuit,"Burgundy solid playsuit, has a shirt collar, three-quarter sleeves, button closure, waist tie-up, two pockets",Cottinfab, Burgundy,Women
Titan Men White Analogue Watch 90099SL02,"Display: AnalogueMovement: ElectronicPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Brown textured, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, White,Men
Soumya Off-White & Purple Single Long Door Curtain,Set content: Single Long Door curtainColour: Off-White and PurplePattern: Floral Light blocking: RegularFitting: EyeletLining: No,Soumya, White,Unisex
CODE by Lifestyle Men Yellow Regular Fit Printed Formal Shirt,"Yellow printed formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",CODE by Lifestyle, Yellow,Men
Sonata Men Black Analogue Watch 77031NM03,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Black bracelet style, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Sonata, Black,Men
Marks & Spencer Women Coral Orange Solid A-Line Dress,"Coral orange solid woven A-line dress with gathered detail, has a V-neck, short sleeves, button closure, flared hem, and two pockets",Marks & Spencer, Orange,Women
Fame Forever by Lifestyle Men Navy Blue Slim Fit Self Design Regular Trousers,Navy Blue self-design mid-rise trousershas a button closure and zip fly,Fame Forever by Lifestyle,Blue,Men
CODE by Lifestyle Men White & Blue Regular Fit Printed Formal Shirt,"White and Blue printed formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",CODE by Lifestyle,Blue,Men
Coolers Men Black Sandals,A pair of black comfort sandalsSynthetic upper with slip-on closureCushioned footbedPatterned rubber outsole,Coolers, Black,Men
Sonata Essentials Men Black Analogue watch NL77082YM01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Gold-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Sonata, Black,Men
Titan Forever Kolkata Women White Analogue watch 2580WL02,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Black regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, White,Women
Titan Octane Men Black Analogue watch 90109KP03,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Textured round stainless steel dialFeatures: Reset Time, Multi FunctionStrap style: Red regular, silicon strap with a tang closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan, Black,Men
Fastrack Men Off-White Analogue Watch 38051SM01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round metal dialFeatures: Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Fastrack, White,Men
Roadster Women Black Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans,"Black dark wash 5-pocket mid-rise jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops",Roadster, Black,Women
Force 10 Women Navy Blue Mesh Running Shoes,"A pair of navy blue running sports shoes, has regular styling, slip-on detailMesh upperCushioned footbedTextured and patterned outsole",Force 10,Blue,Women
Soumya Blue Single Long Door Curtain,Set content: Single long door curtainColour: BluePattern: AbstractLight blocking: RegularFitting: EyeletLining: No,Soumya,Blue,Unisex
ColorPlus Men Blue Regular Fit Solid Casual Shirt,"Blue solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",ColorPlus,Blue,Men
Cherry Crumble Girls Grey Melange Self-Design Sweater,"Grey Melange self-design sweater, has a round neck, long sleeves, button closure, and ribbed hem",Cherry Crumble, Grey,Girls
Titan Octane Men Blue Analogue watch 90109KP02,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset Time, Multi FunctionStrap style: Blue regular, silicon strap with a tang closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Titan,Blue,Men
ColorPlus Men Brown Tailored Fit Checked Casual Shirt,"Brown checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",ColorPlus, Red,Men
CHUTPUT Girls Teal Green & White Open Knit Top with Shorts,"This clothing set consists of top and shortsTeal green open knit top, has a shoulder straps, sleevelessWhite open knit shorts, has a drawstring closureComes with matching shoes",CHUTPUT, Green,Girls
Red Tape Men Black Leather Formal Derbys,"A pair of black round-toed formal derbys, has central lace-upsLeather upperCushioned footbedTextured PVC outsole, has a stacked heelWarranty: 3 months against manufacturing defectsWarranty provided by brand/manufacturer",Red Tape, Red,Men
CODE by Lifestyle Men Orange Regular Fit Solid Casual Shirt,"Orange solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",CODE by Lifestyle, Orange,Men
Roadster Men Blue Super Skinny Fit Mid-Rise Low Distress Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans, low distress, light fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Men
CODE by Lifestyle Men Navy Blue Regular Fit Checked Casual Shirt,"Navy Blue checked casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket",CODE by Lifestyle,Blue,Men
CODE by Lifestyle Men Navy Blue Slim Fit Self Design Formal Trousers,"Navy Blue self-design mid-rise trousers, zip closure, and 4 pockets       Disclaimer: The stylist has paired this pair of trousers with a belt. This pair of trousers does not come with a belt.",CODE by Lifestyle,Blue,Men
LA LOFT Women Black & White Fit and Flare Dress,"Black and White printed woven fit and flare %S, has  shoulder straps, sleeveless, an attached lining, and flared hem",AND, Black,Women
Fastrack Women White Analogue Watch 68008SL01,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Purple regular, leather strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Fastrack, White,Women
Veni Vidi Vici Women White Bodycon Dress,"White solid knitted bodycon dress, has shoulder straps, ruching detail with drawstring, and straight hem",Veni Vidi Vici, White,Women
Arrow Sport Grey Melange Woollen Sweater,"Grey melange sweater in a knitted pattern, has a V-neck, long sleeves, ribbed hem",Arrow Sport, Grey,Men
Infuzze Women Oxidised Silver-Toned Brass-Plated Peacock Shaped Drop Earrings,Silver-toned oxidized textured peacock shaped drop earringsPlating: Brass-platedClosure: Post and back,Infuzze, Silver,Women
Fastrack Women White & Blue Analogue Watch,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round metal dialFeatures: Reset TimeStrap style: Blue regular, leather strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Fastrack,Blue,Women
Soumya White & Blue Single Window Curtain,Set content: Single Window curtainsColour: White and BluePattern: Ethnic Motifs WindowLight blocking: RegularFitting: EyeletLining: No,Soumya,Blue,Unisex
Harvard Men Cream-Coloured Sneakers,"A pair of round-toe cream-coloured sneakers, has regular styling, lace-up detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer",Harvard, Red,Men
Veni Vidi Vici Women Coral Red Solid Fitted Top,"Coral red solid knitted fitted top with cut-out detail, has a high neck, sleeveless, and concealed zip closure",Veni Vidi Vici, Red,Women
CODE by Lifestyle Men Green Striped Polo Collar T-shirt,"Green striped T-shirt, has a polo collar, and short sleeves",CODE by Lifestyle, Green,Men
Levis Men Blue 511 Slim Fit Mid-Rise Clean Look Stretchable Jeans,"Blue dark wash 5-pocket mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",Levis,Blue,Men
Fastrack Men Blue Analogue Watch,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, CalendarStrap style: Black regular, leather strap with a tang closureWater resistance: 50 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Fastrack,Blue,Men
Simply Girls Red & White Set Of 2 Tops,"Set Of 2 Red and White striped and solid knitted regular tops, has a round neck, short sleeves, and button closure, has embroidered detail",Simply,Blue,Girls
Fastrack Women Maroon Analogue Watch 68009PP06,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Red regular, silicon strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Fastrack, Maroon,Women
Roadster Women Blue Skinny Fit Mid-Rise Low Distress Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops",Roadster,Blue,Women
Vishudh Women Off-White & Red Printed A-Line Kurta,"Off-White and Red printed A-line kurta, has a keyhole neck, three-quarter sleeves, flared hem, and front slitComes with attached longling shrug",Vishudh, Red,Women
Roadster Women Black Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans,"Black dark wash 5-pocket mid-rise jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops",Roadster, Black,Women
Sonata Men Dark Green Leather Straps Analogue Watch 77085PL02,"Pack Contains: single watchDisplay: analogueMovement: quartzPower Source: batteryDial style: Dark green solid round plastic dialFeatures: reset timeStrap Style: brown, regular, leather strap with a tang closure Water resistance: 30 mComes in a signature Sonata caseWarranty: 1 yearWarranty provided by brand/manufacturer",Sonata, Green,Men
Kraus Jeans Women Blue Faded Skinny Fit Denim Capris,"Blue high-rise faded capris, button closure, and 5 pockets",Kraus Jeans,Blue,Women
